1: n#13481224;n#13481408;n#13504739
2: n#242003;n#1017987;n#7419792;n#1248852;n#5051896;n#1047338;n#1248418;n#6399503;v#2684924;n#14424517
3: v#2008396;v#2009433;v#334996;v#2010864;v#2075764;v#2075462;v#334186;v#2015598;v#2073714;n#3125184
4: GAP
5: n#884466;n#4921900;n#8681222;n#893955;n#624738;n#8680888;n#894552;n#8616311;n#884311;n#885297
6: n#14449405;n#5113133;n#14464203;n#5162642;n#14472299;s#2336904;n#5160173;a#2336449;s#2337329;n#14463471
7: v#616857;v#1774799;v#2119241;v#850192;v#2543181;v#796976;v#595505;v#800930;n#7502980;v#801782
8: v#2443049;v#2163301;v#1844048;v#2455407;v#2118933;v#1128193;v#2202384;v#2441022;n#3782190;v#2131279
9: n#6159473;n#9183693;a#1548193;n#4846770;n#4881623;n#5662876;n#5923983;n#4458299;n#4849759;n#5954894
10: a#2882838;r#94053
11: n#7420991;n#104249;n#5029137;n#11447851;n#5035820;n#15244650;n#23773;n#15246853;n#5920272
12: n#1220336;n#6720600;n#6719579;n#6715223;n#1225027;n#7502980;n#6715927;n#6721604;n#6718543;n#7125096
13: n#3396841;n#2680337;n#4343346;n#4567870
14: n#9902731;n#1584225;n#10172448;n#2471467
15: GAP
16: n#8639776;n#8640111;n#13923582;n#8640300;n#7238694;n#2709367;v#1304716;n#3933529;n#8639058;n#4033082
17: n#9984659
18: GAP
19: GAP
20: n#7089431;n#7089024;n#5053042;n#5002680;r#289860;a#2174896;n#7088438;n#5116953;a#546646;a#2166346
21: a#262792;a#249721;s#264570;s#250119;s#66146;s#1513512;r#172980;s#1483677;n#7890352;a#1905653
22: v#2250077;v#2251743;v#2252931
23: GAP
24: GAP
25: n#751529;n#73713;n#6201908;n#11420139;n#404726;n#7433973;n#14213512;n#13878306;n#13885700;v#1280014
26: n#12941536;n#12941360;n#7735404;n#12937678;n#12942025
27: v#444629;n#380568;s#617422;v#376106;v#537892;v#1517175;v#447309;n#13566535;v#537759;v#1662771
28: s#422168;s#992432;a#2234781;n#12300625;a#991838;s#282675;a#2236842;n#14864360;n#6377275;s#2235826
29: GAP
30: a#895442;s#337841;a#102201;s#431004;a#273082;s#1782100;s#1223271
31: n#8406486;n#13265011;n#13270038;n#13268842;n#5624042;n#1089778;n#10025195;n#10689878;n#1086081;n#10025295
32: a#2907656;s#32497;n#4930307;n#9820263;n#2512053;s#828661;a#1017161;n#523513;n#555325
33: GAP
34: a#2460502;s#2119716;s#1407267;n#13729902;a#1115349;r#149510;r#38013;a#2179279;r#148869;a#43765
35: a#2946359;s#1730909;s#813589;s#818175;a#2846743;s#901060;s#817731;s#974159
36: n#6486630;a#2662538;n#2870092;n#6169488
37: n#1326015;n#3074855;n#1792255;n#3530910;n#2869837;n#8547544;n#13619307;n#9409512;n#2954340;n#13902048
38: n#1612275;n#12937130
39: s#276862;a#461311;s#461971;n#13983515;a#273082;s#782216;s#1229561;n#13984613;s#1917594;n#13984944
40: n#15095103;a#2689782;n#15094294;n#3728437;n#14870078;n#14495761
41: n#996969;v#647094;n#33615;n#868910;n#5093581;n#633864;n#1005579;n#5816790;n#5064541;n#952963
42: n#9260218;n#7683973;n#9260010;n#5264247;n#3511786
43: 
44: n#10018021;s#1691474;n#10379620
